ID;DICTIONARY_TYPE;DICTIONARY_KEY;DICTIONARY_VALUE
1;CLASSROOM;A100;A100
2;CLASSROOM;A101;A101
3;CLASSROOM;A102;A102
4;CLASSROOM;A103;A103
5;CLASSROOM;A104;A104
6;CLASSROOM;A105;A105
7;CLASSROOM;A106;A106
8;CLASSROOM;A107;A107
9;CLASSROOM;A108;A108
10;CLASSROOM;A109;A109
11;CLASSROOM;A110;A110
12;CLASSROOM;A111;A111
13;CLASSROOM;A112;A112
14;CLASSROOM;A113;A113
15;CLASSROOM;A114;A114
16;CLASSROOM;A115;A115
17;CLASSROOM;A116;A116
18;CLASSROOM;A117;A117
19;CLASSROOM;A118;A118
20;CLASSROOM;A119;A119
21;CLASSROOM;A120;A120
22;CLASSROOM;A121;A121
23;CLASSROOM;A122;A122
24;CLASSROOM;A123;A123
25;CLASSROOM;A124;A124
26;CLASSROOM;A125;A125
27;CLASSROOM;A126;A126
28;CLASSROOM;A127;A127
29;CLASSROOM;A128;A128
30;CLASSROOM;A129;A129
31;CLASSROOM;A130;A130
32;CLASSROOM;A131;A131
33;CLASSROOM;A132;A132
34;CLASSROOM;A133;A133
35;CLASSROOM;A134;A134
36;CLASSROOM;A135;A135
37;CLASSROOM;A136;A136
38;CLASSROOM;A137;A137
39;CLASSROOM;A138;A138
40;CLASSROOM;A139;A139
41;CLASSROOM;A140;A140
42;CLASSROOM;A141;A141
43;CLASSROOM;A142;A142
44;CLASSROOM;A143;A143
45;CLASSROOM;A144;A144
46;CLASSROOM;A145;A145
47;CLASSROOM;A146;A146
48;CLASSROOM;A147;A147
49;CLASSROOM;A148;A148
50;CLASSROOM;A149;A149
51;CLASSROOM;A150;A150
52;CLASSROOM;A151;A151
53;CLASSROOM;A152;A152
54;CLASSROOM;A153;A153
55;CLASSROOM;A154;A154
56;CLASSROOM;A155;A155
57;CLASSROOM;A156;A156
58;CLASSROOM;A157;A157
59;CLASSROOM;A158;A158
60;CLASSROOM;A159;A159
61;CLASSROOM;A160;A160
62;CLASSROOM;A161;A161
63;CLASSROOM;A162;A162
64;CLASSROOM;A163;A163
65;CLASSROOM;A164;A164
66;CLASSROOM;A165;A165
67;CLASSROOM;A166;A166
68;CLASSROOM;A167;A167
69;CLASSROOM;A168;A168
70;CLASSROOM;A169;A169
71;CLASSROOM;A170;A170
72;CLASSROOM;A171;A171
73;CLASSROOM;A172;A172
74;CLASSROOM;A173;A173
75;CLASSROOM;A174;A174
76;CLASSROOM;A175;A175
77;CLASSROOM;A176;A176
78;CLASSROOM;A177;A177
79;CLASSROOM;A178;A178
80;CLASSROOM;A179;A179
81;CLASSROOM;A180;A180
82;CLASSROOM;A181;A181
83;CLASSROOM;A182;A182
84;CLASSROOM;A183;A183
85;CLASSROOM;A184;A184
86;CLASSROOM;A185;A185
87;CLASSROOM;A186;A186
88;CLASSROOM;A187;A187
89;CLASSROOM;A188;A188
90;CLASSROOM;A189;A189
91;CLASSROOM;A190;A190
92;CLASSROOM;A191;A191
93;CLASSROOM;A192;A192
94;CLASSROOM;A193;A193
95;CLASSROOM;A194;A194
96;CLASSROOM;A195;A195
97;CLASSROOM;A196;A196
98;CLASSROOM;A197;A197
99;CLASSROOM;A198;A198
100;CLASSROOM;B100;B100
101;CLASSROOM;B101;B101
102;CLASSROOM;B102;B102
103;CLASSROOM;B103;B103
104;CLASSROOM;B104;B104
105;CLASSROOM;B105;B105
106;CLASSROOM;B106;B106
107;CLASSROOM;B107;B107
108;CLASSROOM;B108;B108
109;CLASSROOM;B109;B109
110;CLASSROOM;B110;B110
111;CLASSROOM;B111;B111
112;CLASSROOM;B112;B112
113;CLASSROOM;B113;B113
114;CLASSROOM;B114;B114
115;CLASSROOM;B115;B115
116;CLASSROOM;B116;B116
117;CLASSROOM;B117;B117
118;CLASSROOM;B118;B118
119;CLASSROOM;B119;B119
120;CLASSROOM;B120;B120
121;CLASSROOM;B121;B121
122;CLASSROOM;B122;B122
123;CLASSROOM;B123;B123
124;CLASSROOM;B124;B124
125;CLASSROOM;B125;B125
126;CLASSROOM;B126;B126
127;CLASSROOM;B127;B127
128;CLASSROOM;B128;B128
129;CLASSROOM;B129;B129
130;CLASSROOM;B130;B130
131;CLASSROOM;B131;B131
132;CLASSROOM;B132;B132
133;CLASSROOM;B133;B133
134;CLASSROOM;B134;B134
135;CLASSROOM;B135;B135
136;CLASSROOM;B136;B136
137;CLASSROOM;B137;B137
138;CLASSROOM;B138;B138
139;CLASSROOM;B139;B139
140;CLASSROOM;B140;B140
141;CLASSROOM;B141;B141
142;CLASSROOM;B142;B142
143;CLASSROOM;B143;B143
144;CLASSROOM;B144;B144
145;CLASSROOM;B145;B145
146;CLASSROOM;B146;B146
147;CLASSROOM;B147;B147
148;CLASSROOM;B148;B148
149;CLASSROOM;B149;B149
150;CLASSROOM;B150;B150
151;CLASSROOM;B151;B151
152;CLASSROOM;B152;B152
153;CLASSROOM;B153;B153
154;CLASSROOM;B154;B154
155;CLASSROOM;B155;B155
156;CLASSROOM;B156;B156
157;CLASSROOM;B157;B157
158;CLASSROOM;B158;B158
159;CLASSROOM;B159;B159
160;CLASSROOM;B160;B160
161;CLASSROOM;B161;B161
162;CLASSROOM;B162;B162
163;CLASSROOM;B163;B163
164;CLASSROOM;B164;B164
165;CLASSROOM;B165;B165
166;CLASSROOM;B166;B166
167;CLASSROOM;B167;B167
168;CLASSROOM;B168;B168
169;CLASSROOM;B169;B169
170;CLASSROOM;B170;B170
171;CLASSROOM;B171;B171
172;CLASSROOM;B172;B172
173;CLASSROOM;B173;B173
174;CLASSROOM;B174;B174
175;CLASSROOM;B175;B175
176;CLASSROOM;B176;B176
177;CLASSROOM;B177;B177
178;CLASSROOM;B178;B178
179;CLASSROOM;B179;B179
180;CLASSROOM;B180;B180
181;CLASSROOM;B181;B181
182;CLASSROOM;B182;B182
183;CLASSROOM;B183;B183
184;CLASSROOM;B184;B184
185;CLASSROOM;B185;B185
186;CLASSROOM;B186;B186
187;CLASSROOM;B187;B187
188;CLASSROOM;B188;B188
189;CLASSROOM;B189;B189
190;CLASSROOM;B190;B190
191;CLASSROOM;B191;B191
192;CLASSROOM;B192;B192
193;CLASSROOM;B193;B193
194;CLASSROOM;B194;B194
195;CLASSROOM;B195;B195
196;CLASSROOM;B196;B196
197;CLASSROOM;B197;B197
198;CLASSROOM;B198;B198
199;CLASSROOM;B199;B199
200;CLASSROOM;B200;B200
201;CLASSROOM;C100;C100
202;CLASSROOM;C101;C101
203;CLASSROOM;C102;C102
204;CLASSROOM;C103;C103
205;CLASSROOM;C104;C104
206;CLASSROOM;C105;C105
207;CLASSROOM;C106;C106
208;CLASSROOM;C107;C107
209;CLASSROOM;C108;C108
210;CLASSROOM;C109;C109
211;CLASSROOM;C110;C110
212;CLASSROOM;C111;C111
213;CLASSROOM;C112;C112
214;CLASSROOM;C113;C113
215;CLASSROOM;C114;C114
216;CLASSROOM;C115;C115
